2025-12-09 10:03:44:  Start checking... 
2025-12-09 10:07:50: mail-abuse.blacklist.jippg.org -----------------------------  √
2025-12-09 10:07:52: netbl.spameatingmonkey.net -----------------------------  √
2025-12-09 10:07:54: netscan.rbl.blockedservers.com -----------------------------  √
2025-12-09 10:07:56: no-more-funn.moensted.dk -----------------------------  √
2025-12-09 10:07:58: noptr.spamrats.com -----------------------------  √
2025-12-09 10:08:06: orvedb.aupads.org -----------------------------  √
2025-12-09 10:08:16: pbl.spamhaus.org -----------------------------  √
2025-12-09 10:08:18: phishing.rbl.msrbl.net -----------------------------  √
2025-12-09 10:08:20: pofon.foobar.hu -----------------------------  √
2025-12-09 10:08:22: psbl.surriel.com -----------------------------  √
2025-12-09 10:08:24: rbl.abuse.ro -----------------------------  √
2025-12-09 10:08:26: rbl.blockedservers.com -----------------------------  √
2025-12-09 10:08:28: rbl.dns-servicios.com -----------------------------  √
2025-12-09 10:08:30: rbl.efnet.org -----------------------------  √
2025-12-09 10:08:33: rbl.efnetrbl.org -----------------------------  √
2025-12-09 10:08:35: rbl.iprange.net -----------------------------  √
2025-12-09 10:08:37: rbl.schulte.org -----------------------------  √
2025-12-09 10:08:39: rbl.talkactive.net -----------------------------  √
2025-12-09 10:08:41: rbl2.triumf.ca -----------------------------  √
2025-12-09 10:08:43: rsbl.aupads.org -----------------------------  √
2025-12-09 10:08:53: sbl-xbl.spamhaus.org -----------------------------  √
2025-12-09 10:08:55: sbl.nszones.com -----------------------------  √
2025-12-09 10:08:57: sbl.spamhaus.org -----------------------------  √
2025-12-09 10:08:59: short.rbl.jp -----------------------------  √
2025-12-09 10:09:02: spam.dnsbl.anonmails.de -----------------------------  √
2025-12-09 10:09:04: spam.pedantic.org -----------------------------  √
2025-12-09 10:09:06: spam.rbl.blockedservers.com -----------------------------  √
2025-12-09 10:09:08: spam.rbl.msrbl.net -----------------------------  √
2025-12-09 10:09:10: spam.spamrats.com -----------------------------  √
2025-12-09 10:09:17: spamrbl.imp.ch -----------------------------  √
2025-12-09 10:09:20: spamsources.fabel.dk -----------------------------  √
2025-12-09 10:09:22: st.technovision.dk -----------------------------  √
2025-12-09 10:09:24: tor.dan.me.uk -----------------------------  √
2025-12-09 10:09:26: tor.dnsbl.sectoor.de -----------------------------  √
2025-12-09 10:09:32: tor.efnet.org -----------------------------  √
2025-12-09 10:09:34: torexit.dan.me.uk -----------------------------  √
2025-12-09 10:09:36: truncate.gbudb.net -----------------------------  √
2025-12-09 10:09:38: ubl.unsubscore.com -----------------------------  √
2025-12-09 10:09:40: uribl.spameatingmonkey.net -----------------------------  √
2025-12-09 10:09:43: urired.spameatingmonkey.net -----------------------------  √
2025-12-09 10:09:45: virbl.dnsbl.bit.nl -----------------------------  √
2025-12-09 10:09:47: virus.rbl.jp -----------------------------  √
2025-12-09 10:09:49: virus.rbl.msrbl.net -----------------------------  √
2025-12-09 10:09:51: vote.drbl.caravan.ru -----------------------------  √
2025-12-09 10:09:54: vote.drbl.gremlin.ru -----------------------------  √
2025-12-09 10:09:56: web.rbl.msrbl.net -----------------------------  √
2025-12-09 10:09:58: work.drbl.caravan.ru -----------------------------  √
2025-12-09 10:10:00: work.drbl.gremlin.ru -----------------------------  √
2025-12-09 10:10:02: wormrbl.imp.ch -----------------------------  √
2025-12-09 10:10:04: xbl.spamhaus.org -----------------------------  √
2025-12-09 10:10:06: zen.spamhaus.org -----------------------------  √
---------------------------------------------------------------------------------------  
Results for taizhost.com: 
Ip: 159.69.209.206 
Tested: 144 
Passed: 139 
Invalid: 5 
Blacklisted: 0 
---------------------------------------------------------------------------------------   
2025-12-09 10:10:08:  Check finished
